DataNo;Date;Time;Millisecond;Urms-1;Urms-2;Urms-3;Urms-SIGMA;Irms-1;Irms-2;Irms-3;Irms-SIGMA;P-1;P-2;P-3;P-SIGMA;FreqU-1;FreqI-1;Q-1;Q-2;Q-3;Q-SIGMA;S-1;S-2;S-3;S-SIGMA;PF-1;PF-2;PF-3;PF-SIGMA;Uthd-1;Uthd-2;Uthd-3;Ithd-1;Ithd-2;Ithd-3;CfU-1;CfU-2;CfU-3;CfI-1;CfI-2;CfI-3;Idc-1;Idc-2;Idc-3;I(k)-1-Total;I(k)-2-Total;I(k)-3-Total;U(k)-1-Total;U(k)-2-Total;U(k)-3-Total;U(k)-1-500
200;2025/08/20;13:56:27;237;245,979 ;245,867 ;245,752 ;245,866 ;0,28858E+03;0,29038E+03;0,29469E+03;0,29122E+03;36,638E+03;37,203E+03;37,693E+03;111,534E+03;57,024 ;57,028 ;60,799E+03;60,935E+03;61,839E+03;183,573E+03;70,985E+03;71,394E+03;72,421E+03;214,800E+03;0,51613 ;0,52109 ;0,52047 ;0,51924 ;38,945 ;40,063 ;39,559 ;16,854 ;16,823 ;16,852 ;1,597 ;1,598 ;1,595 ;1,841 ;1,813 ;1,812 ;0,00042E+03;-0,00039E+03;0,00005E+03;0,28310E+03;0,28434E+03;0,28676E+03;239,356 ;238,636 ;239,035 ;NAN
201;2025/08/20;13:56:27;738;245,656 ;245,529 ;245,403 ;245,529 ;0,28718E+03;0,28928E+03;0,29324E+03;0,28990E+03;36,690E+03;37,326E+03;37,806E+03;111,822E+03;57,024 ;57,016 ;60,255E+03;60,427E+03;61,231E+03;181,912E+03;70,546E+03;71,026E+03;71,961E+03;213,533E+03;0,52008 ;0,52553 ;0,52536 ;0,52367 ;39,780 ;40,173 ;39,698 ;16,816 ;17,020 ;16,986 ;1,606 ;1,600 ;1,613 ;1,840 ;1,828 ;1,808 ;0,00037E+03;-0,00008E+03;0,00076E+03;0,28172E+03;0,27943E+03;0,28239E+03;239,313 ;238,862 ;238,872 ;NAN
202;2025/08/20;13:56:28;236;245,591 ;245,453 ;245,361 ;245,468 ;0,28396E+03;0,28621E+03;0,28931E+03;0,28649E+03;36,448E+03;37,254E+03;37,596E+03;111,298E+03;57,022 ;57,037 ;59,456E+03;59,559E+03;60,212E+03;179,227E+03;69,738E+03;70,251E+03;70,986E+03;210,975E+03;0,52264 ;0,53030 ;0,52963 ;0,52754 ;39,633 ;39,944 ;39,762 ;16,376 ;16,671 ;17,101 ;1,602 ;1,593 ;1,596 ;1,833 ;1,800 ;1,808 ;0,00004E+03;-0,00059E+03;-0,00183E+03;0,29593E+03;0,29403E+03;0,29231E+03;240,878 ;240,508 ;241,349 ;NAN
203;2025/08/20;13:56:28;737;245,980 ;245,860 ;245,755 ;245,865 ;0,28692E+03;0,28903E+03;0,29280E+03;0,28958E+03;36,475E+03;37,165E+03;37,619E+03;111,259E+03;57,026 ;57,040 ;60,421E+03;60,567E+03;61,340E+03;182,328E+03;70,577E+03;71,061E+03;71,957E+03;213,595E+03;0,51681 ;0,52301 ;0,52280 ;0,52089 ;39,784 ;39,826 ;39,634 ;16,845 ;16,355 ;16,690 ;1,595 ;1,597 ;1,596 ;1,844 ;1,835 ;1,823 ;-0,00033E+03;0,00060E+03;0,00031E+03;0,28753E+03;0,29563E+03;0,29701E+03;239,708 ;239,530 ;239,778 ;NAN
204;2025/08/20;13:56:29;237;245,954 ;245,840 ;245,734 ;245,843 ;0,28891E+03;0,29053E+03;0,29514E+03;0,29153E+03;36,697E+03;37,204E+03;37,735E+03;111,635E+03;57,026 ;57,027 ;60,848E+03;60,970E+03;61,936E+03;183,755E+03;71,058E+03;71,425E+03;72,526E+03;215,008E+03;0,51645 ;0,52088 ;0,52029 ;0,51921 ;39,970 ;39,675 ;39,266 ;16,717 ;16,833 ;16,932 ;1,620 ;1,604 ;1,593 ;1,812 ;1,772 ;1,779 ;0,00034E+03;-0,00020E+03;0,00072E+03;0,28432E+03;0,28232E+03;0,28512E+03;239,301 ;238,959 ;239,749 ;NAN
205;2025/08/20;13:56:29;736;245,589 ;245,468 ;245,339 ;245,466 ;0,28576E+03;0,28761E+03;0,29139E+03;0,28825E+03;36,616E+03;37,278E+03;37,682E+03;111,576E+03;57,022 ;57,018 ;59,869E+03;59,954E+03;60,753E+03;180,576E+03;70,179E+03;70,598E+03;71,490E+03;212,267E+03;0,52176 ;0,52803 ;0,52709 ;0,52564 ;39,634 ;40,213 ;39,670 ;16,603 ;16,895 ;17,114 ;1,614 ;1,600 ;1,602 ;1,832 ;1,824 ;1,810 ;-0,00071E+03;0,00045E+03;-0,00078E+03;0,28602E+03;0,28480E+03;0,28440E+03;240,325 ;239,395 ;239,357 ;NAN
206;2025/08/20;13:56:30;238;245,740 ;245,630 ;245,516 ;245,628 ;0,28447E+03;0,28688E+03;0,29019E+03;0,28718E+03;36,391E+03;37,164E+03;37,571E+03;111,125E+03;57,023 ;57,033 ;59,686E+03;59,869E+03;60,534E+03;180,089E+03;69,905E+03;70,466E+03;71,245E+03;211,616E+03;0,52058 ;0,52740 ;0,52735 ;0,52513 ;39,609 ;39,720 ;39,860 ;16,744 ;16,362 ;16,847 ;1,597 ;1,611 ;1,609 ;1,816 ;1,826 ;1,805 ;0,00027E+03;-0,00070E+03;0,00126E+03;0,29268E+03;0,29975E+03;0,29964E+03;240,682 ;240,469 ;239,911 ;NAN
207;2025/08/20;13:56:30;736;246,026 ;245,877 ;245,775 ;245,893 ;0,28821E+03;0,28989E+03;0,29351E+03;0,29053E+03;36,557E+03;37,254E+03;37,578E+03;111,388E+03;57,026 ;57,034 ;60,756E+03;60,767E+03;61,576E+03;183,099E+03;70,906E+03;71,278E+03;72,136E+03;214,320E+03;0,51556 ;0,52266 ;0,52093 ;0,51973 ;39,648 ;40,078 ;39,752 ;16,639 ;16,581 ;16,763 ;1,596 ;1,614 ;1,595 ;1,832 ;1,805 ;1,789 ;0,00001E+03;0,00050E+03;-0,00024E+03;0,28938E+03;0,29073E+03;0,29144E+03;240,263 ;239,390 ;238,971 ;NAN
208;2025/08/20;13:56:31;237;245,812 ;245,684 ;245,570 ;245,689 ;0,28712E+03;0,28913E+03;0,29344E+03;0,28990E+03;36,629E+03;37,187E+03;37,738E+03;111,554E+03;57,028 ;57,017 ;60,328E+03;60,523E+03;61,390E+03;182,241E+03;70,578E+03;71,034E+03;72,061E+03;213,673E+03;0,51899 ;0,52350 ;0,52369 ;0,52208 ;39,689 ;39,715 ;39,575 ;16,950 ;16,882 ;17,016 ;1,612 ;1,601 ;1,594 ;1,799 ;1,801 ;1,804 ;-0,00043E+03;-0,00008E+03;-0,00102E+03;0,27944E+03;0,28077E+03;0,28427E+03;239,051 ;239,345 ;239,758 ;NAN
209;2025/08/20;13:56:31;738;245,566 ;245,478 ;245,359 ;245,468 ;0,28425E+03;0,28670E+03;0,29114E+03;0,28736E+03;36,513E+03;37,071E+03;37,738E+03;111,322E+03;57,021 ;57,025 ;59,490E+03;59,824E+03;60,650E+03;179,964E+03;69,801E+03;70,379E+03;71,433E+03;211,613E+03;0,52309 ;0,52674 ;0,52831 ;0,52606 ;39,922 ;39,718 ;39,888 ;16,820 ;16,515 ;16,910 ;1,602 ;1,604 ;1,595 ;1,809 ;1,792 ;1,793 ;-0,00038E+03;-0,00003E+03;0,00041E+03;0,28571E+03;0,29112E+03;0,29044E+03;240,393 ;240,251 ;239,971 ;NAN
210;2025/08/20;13:56:32;239;245,864 ;245,809 ;245,677 ;245,783 ;0,28566E+03;0,28797E+03;0,29203E+03;0,28855E+03;36,427E+03;37,065E+03;37,607E+03;111,098E+03;57,026 ;57,032 ;60,049E+03;60,305E+03;61,099E+03;181,453E+03;70,234E+03;70,785E+03;71,745E+03;212,764E+03;0,51865 ;0,52363 ;0,52417 ;0,52217 ;39,710 ;39,799 ;39,875 ;16,882 ;16,495 ;16,773 ;1,606 ;1,601 ;1,599 ;1,812 ;1,803 ;1,810 ;0,00088E+03;0,00059E+03;-0,00003E+03;0,29076E+03;0,29645E+03;0,29790E+03;240,788 ;240,299 ;239,887 ;NAN
211;2025/08/20;13:56:32;737;246,080 ;245,948 ;245,819 ;245,949 ;0,28836E+03;0,29042E+03;0,29379E+03;0,29086E+03;36,381E+03;37,136E+03;37,465E+03;110,982E+03;57,027 ;57,022 ;60,924E+03;61,016E+03;61,741E+03;183,681E+03;70,959E+03;71,429E+03;72,219E+03;214,607E+03;0,51270 ;0,51990 ;0,51877 ;0,51714 ;39,979 ;39,789 ;39,707 ;16,672 ;16,751 ;16,802 ;1,599 ;1,599 ;1,616 ;1,796 ;1,797 ;1,792 ;0,00022E+03;-0,00125E+03;-0,00004E+03;0,28469E+03;0,28691E+03;0,28903E+03;239,370 ;238,711 ;239,469 ;NAN
212;2025/08/20;13:56:33;237;245,844 ;245,678 ;245,568 ;245,697 ;0,28454E+03;0,28631E+03;0,29014E+03;0,28699E+03;36,117E+03;36,752E+03;37,159E+03;110,029E+03;57,028 ;57,021 ;59,906E+03;59,975E+03;60,791E+03;180,672E+03;69,951E+03;70,340E+03;71,249E+03;211,540E+03;0,51632 ;0,52249 ;0,52155 ;0,52013 ;39,971 ;39,983 ;40,039 ;17,012 ;16,476 ;16,909 ;1,601 ;1,593 ;1,610 ;1,820 ;1,807 ;1,808 ;-0,00025E+03;0,00067E+03;0,00028E+03;0,27915E+03;0,28926E+03;0,28801E+03;239,562 ;240,257 ;240,166 ;NAN
213;2025/08/20;13:56:33;737;246,131 ;245,997 ;245,893 ;246,007 ;0,28255E+03;0,28468E+03;0,28905E+03;0,28543E+03;35,504E+03;36,044E+03;36,637E+03;108,184E+03;57,028 ;57,039 ;59,799E+03;60,043E+03;60,905E+03;180,748E+03;69,544E+03;70,031E+03;71,075E+03;210,651E+03;0,51052 ;0,51468 ;0,51546 ;0,51357 ;39,712 ;39,459 ;40,020 ;16,818 ;16,552 ;16,704 ;1,603 ;1,592 ;1,602 ;1,828 ;1,807 ;1,807 ;0,00051E+03;-0,00001E+03;0,00057E+03;0,28683E+03;0,29117E+03;0,29460E+03;240,377 ;239,993 ;240,213 ;NAN
214;2025/08/20;13:56:34;236;246,444 ;246,305 ;246,184 ;246,311 ;0,28451E+03;0,28620E+03;0,29003E+03;0,28691E+03;35,162E+03;35,797E+03;36,159E+03;107,118E+03;57,034 ;57,024 ;60,660E+03;60,727E+03;61,567E+03;182,954E+03;70,115E+03;70,492E+03;71,400E+03;212,007E+03;0,50149 ;0,50781 ;0,50643 ;0,50526 ;39,470 ;39,823 ;39,999 ;16,569 ;16,635 ;16,940 ;1,595 ;1,615 ;1,628 ;1,838 ;1,813 ;1,805 ;-0,00182E+03;0,00021E+03;-0,00116E+03;0,28517E+03;0,28725E+03;0,28470E+03;240,428 ;240,266 ;239,725 ;NAN
215;2025/08/20;13:56:34;737;246,296 ;246,152 ;246,028 ;246,158 ;0,28255E+03;0,28394E+03;0,28795E+03;0,28481E+03;35,034E+03;35,618E+03;35,954E+03;106,605E+03;57,025 ;57,021 ;60,130E+03;60,136E+03;61,041E+03;181,308E+03;69,592E+03;69,893E+03;70,843E+03;210,327E+03;0,50342 ;0,50960 ;0,50752 ;0,50685 ;40,074 ;39,972 ;39,950 ;17,023 ;16,484 ;16,955 ;1,610 ;1,610 ;1,598 ;1,832 ;1,834 ;1,840 ;0,00041E+03;0,00024E+03;0,00038E+03;0,27573E+03;0,28524E+03;0,28303E+03;240,060 ;240,075 ;240,125 ;NAN
216;2025/08/20;13:56:35;236;246,166 ;246,062 ;245,952 ;246,060 ;0,28027E+03;0,28150E+03;0,28609E+03;0,28262E+03;34,989E+03;35,444E+03;35,901E+03;106,334E+03;57,023 ;57,022 ;59,463E+03;59,510E+03;60,516E+03;179,489E+03;68,993E+03;69,266E+03;70,364E+03;208,623E+03;0,50714 ;0,51171 ;0,51021 ;0,50969 ;39,830 ;40,057 ;39,916 ;17,006 ;16,863 ;16,599 ;1,604 ;1,602 ;1,596 ;1,820 ;1,805 ;1,805 ;-0,00028E+03;0,00004E+03;-0,00086E+03;0,27921E+03;0,28141E+03;0,28947E+03;240,682 ;240,664 ;240,602 ;NAN
217;2025/08/20;13:56:35;737;246,515 ;246,394 ;246,262 ;246,390 ;0,28342E+03;0,28605E+03;0,28942E+03;0,28630E+03;34,892E+03;35,650E+03;36,098E+03;106,640E+03;57,023 ;57,022 ;60,531E+03;60,800E+03;61,455E+03;182,786E+03;69,867E+03;70,481E+03;71,272E+03;211,621E+03;0,49941 ;0,50581 ;0,50648 ;0,50392 ;39,810 ;39,832 ;39,909 ;16,558 ;16,742 ;17,118 ;1,597 ;1,606 ;1,596 ;1,818 ;1,801 ;1,814 ;-0,00014E+03;-0,00041E+03;0,00066E+03;0,28172E+03;0,28381E+03;0,28196E+03;240,472 ;240,185 ;239,291 ;NAN
218;2025/08/20;13:56:36;238;246,150 ;246,019 ;245,896 ;246,022 ;0,28051E+03;0,28258E+03;0,28619E+03;0,28310E+03;34,946E+03;35,622E+03;36,036E+03;106,603E+03;57,021 ;57,019 ;59,552E+03;59,700E+03;60,447E+03;179,700E+03;69,048E+03;69,520E+03;70,374E+03;208,942E+03;0,50611 ;0,51240 ;0,51206 ;0,51020 ;39,644 ;39,695 ;39,487 ;17,056 ;16,424 ;16,938 ;1,593 ;1,600 ;1,602 ;1,806 ;1,798 ;1,796 ;-0,00006E+03;0,00035E+03;-0,00073E+03;0,27826E+03;0,28760E+03;0,28552E+03;240,873 ;240,283 ;240,506 ;NAN
219;2025/08/20;13:56:36;737;246,324 ;246,238 ;246,102 ;246,222 ;0,28217E+03;0,28463E+03;0,28856E+03;0,28512E+03;34,950E+03;35,591E+03;36,124E+03;106,665E+03;57,021 ;57,028 ;60,079E+03;60,377E+03;61,142E+03;181,598E+03;69,506E+03;70,086E+03;71,016E+03;210,608E+03;0,50284 ;0,50781 ;0,50868 ;0,50646 ;39,635 ;40,189 ;39,945 ;16,805 ;16,739 ;16,617 ;1,604 ;1,595 ;1,606 ;1,810 ;1,794 ;1,784 ;0,00078E+03;-0,00076E+03;0,00144E+03;0,28223E+03;0,28617E+03;0,28984E+03;240,184 ;239,999 ;240,074 ;NAN
220;2025/08/20;13:56:37;238;246,384 ;246,240 ;246,131 ;246,252 ;0,28190E+03;0,28319E+03;0,28792E+03;0,28434E+03;35,065E+03;35,493E+03;35,993E+03;106,550E+03;57,023 ;57,012 ;59,954E+03;60,023E+03;61,046E+03;181,023E+03;69,455E+03;69,732E+03;70,867E+03;210,054E+03;0,50485 ;0,50899 ;0,50790 ;0,50725 ;40,378 ;39,833 ;39,790 ;16,957 ;16,885 ;16,563 ;1,594 ;1,597 ;1,598 ;1,836 ;1,797 ;1,801 ;0,00000E+03;0,00032E+03;-0,00248E+03;0,27932E+03;0,28184E+03;0,29002E+03;239,588 ;240,711 ;240,317 ;NAN
221;2025/08/20;13:56:37;738;246,229 ;246,109 ;245,982 ;246,107 ;0,28141E+03;0,28372E+03;0,28695E+03;0,28403E+03;34,881E+03;35,649E+03;35,998E+03;106,528E+03;57,020 ;57,024 ;59,872E+03;60,041E+03;60,714E+03;180,628E+03;69,292E+03;69,827E+03;70,584E+03;209,703E+03;0,50339 ;0,51053 ;0,51001 ;0,50800 ;39,740 ;40,203 ;39,999 ;16,424 ;16,687 ;17,053 ;1,605 ;1,612 ;1,595 ;1,808 ;1,778 ;1,792 ;-0,00012E+03;-0,00053E+03;0,00140E+03;0,28304E+03;0,28383E+03;0,28243E+03;240,663 ;240,325 ;239,742 ;NAN
222;2025/08/20;13:56:38;236;246,298 ;246,190 ;246,043 ;246,177 ;0,28273E+03;0,28488E+03;0,28815E+03;0,28525E+03;34,950E+03;35,714E+03;36,042E+03;106,705E+03;57,023 ;57,020 ;60,229E+03;60,362E+03;61,052E+03;181,642E+03;69,635E+03;70,136E+03;70,896E+03;210,667E+03;0,50190 ;0,50921 ;0,50837 ;0,50651 ;39,809 ;39,596 ;40,161 ;16,951 ;16,389 ;16,904 ;1,595 ;1,600 ;1,597 ;1,810 ;1,795 ;1,798 ;0,00039E+03;0,00061E+03;0,00051E+03;0,28021E+03;0,28975E+03;0,28871E+03;240,239 ;240,304 ;239,660 ;NAN
223;2025/08/20;13:56:38;738;246,459 ;246,318 ;246,194 ;246,324 ;0,28228E+03;0,28363E+03;0,28724E+03;0,28438E+03;34,910E+03;35,568E+03;35,815E+03;106,293E+03;57,022 ;57,019 ;60,177E+03;60,131E+03;60,977E+03;181,285E+03;69,570E+03;69,863E+03;70,717E+03;210,150E+03;0,50180 ;0,50912 ;0,50645 ;0,50580 ;39,714 ;40,072 ;39,775 ;16,921 ;16,678 ;16,624 ;1,593 ;1,593 ;1,598 ;1,816 ;1,807 ;1,806 ;-0,00025E+03;-0,00062E+03;-0,00061E+03;0,28042E+03;0,28651E+03;0,28986E+03;240,188 ;240,422 ;240,089 ;NAN
224;2025/08/20;13:56:39;238;246,265 ;246,130 ;245,991 ;246,129 ;0,28194E+03;0,28366E+03;0,28730E+03;0,28430E+03;34,970E+03;35,634E+03;35,968E+03;106,572E+03;57,022 ;57,013 ;59,982E+03;60,038E+03;60,835E+03;180,855E+03;69,432E+03;69,816E+03;70,672E+03;209,920E+03;0,50366 ;0,51040 ;0,50894 ;0,50768 ;40,124 ;39,841 ;40,117 ;16,887 ;16,946 ;16,691 ;1,595 ;1,595 ;1,624 ;1,814 ;1,805 ;1,792 ;-0,00055E+03;0,00073E+03;-0,00001E+03;0,27833E+03;0,27953E+03;0,28753E+03;240,336 ;240,859 ;239,907 ;NAN
225;2025/08/20;13:56:39;738;246,343 ;246,182 ;246,091 ;246,205 ;0,28251E+03;0,28373E+03;0,28824E+03;0,28483E+03;35,084E+03;35,560E+03;35,984E+03;106,628E+03;57,022 ;57,016 ;60,105E+03;60,120E+03;61,128E+03;181,352E+03;69,595E+03;69,849E+03;70,933E+03;210,377E+03;0,50411 ;0,50910 ;0,50730 ;0,50684 ;39,681 ;39,871 ;40,275 ;16,705 ;16,932 ;17,023 ;1,594 ;1,599 ;1,599 ;1,814 ;1,797 ;1,790 ;-0,00060E+03;0,00059E+03;0,00098E+03;0,27988E+03;0,27950E+03;0,28584E+03;240,389 ;240,153 ;240,034 ;NAN
226;2025/08/20;13:56:40;236;246,187 ;246,096 ;245,948 ;246,077 ;0,28100E+03;0,28331E+03;0,28664E+03;0,28365E+03;34,869E+03;35,622E+03;35,999E+03;106,491E+03;57,021 ;57,023 ;59,747E+03;59,935E+03;60,615E+03;180,297E+03;69,178E+03;69,722E+03;70,499E+03;209,399E+03;0,50405 ;0,51092 ;0,51063 ;0,50855 ;39,737 ;39,811 ;40,319 ;16,886 ;16,371 ;16,882 ;1,615 ;1,606 ;1,600 ;1,802 ;1,800 ;1,789 ;0,00070E+03;-0,00084E+03;-0,00116E+03;0,28090E+03;0,29112E+03;0,28958E+03;240,382 ;241,472 ;240,421 ;NAN
227;2025/08/20;13:56:40;736;246,366 ;246,237 ;246,118 ;246,240 ;0,28317E+03;0,28494E+03;0,28918E+03;0,28576E+03;35,035E+03;35,581E+03;36,061E+03;106,678E+03;57,023 ;57,015 ;60,327E+03;60,471E+03;61,360E+03;182,157E+03;69,763E+03;70,162E+03;71,172E+03;211,096E+03;0,50221 ;0,50713 ;0,50668 ;0,50535 ;39,857 ;39,753 ;39,212 ;17,058 ;16,775 ;16,579 ;1,597 ;1,612 ;1,598 ;1,831 ;1,807 ;1,794 ;0,00065E+03;-0,00003E+03;0,00012E+03;0,28013E+03;0,28458E+03;0,29203E+03;239,767 ;239,593 ;239,753 ;NAN
228;2025/08/20;13:56:41;237;246,292 ;246,157 ;246,041 ;246,164 ;0,28116E+03;0,28261E+03;0,28690E+03;0,28356E+03;35,015E+03;35,538E+03;35,965E+03;106,518E+03;57,020 ;57,013 ;59,741E+03;59,805E+03;60,740E+03;180,286E+03;69,246E+03;69,567E+03;70,589E+03;209,402E+03;0,50566 ;0,51085 ;0,50950 ;0,50868 ;39,823 ;39,980 ;39,309 ;16,901 ;17,077 ;16,564 ;1,598 ;1,596 ;1,600 ;1,813 ;1,804 ;1,817 ;-0,00049E+03;0,00030E+03;-0,00045E+03;0,28048E+03;0,28028E+03;0,29106E+03;240,511 ;240,263 ;240,405 ;NAN
229;2025/08/20;13:56:41;738;246,430 ;246,283 ;246,173 ;246,295 ;0,28270E+03;0,28420E+03;0,28810E+03;0,28500E+03;34,997E+03;35,604E+03;35,948E+03;106,548E+03;57,024 ;57,017 ;60,238E+03;60,262E+03;61,137E+03;181,637E+03;69,666E+03;69,994E+03;70,922E+03;210,582E+03;0,50235 ;0,50867 ;0,50686 ;0,50597 ;39,805 ;40,086 ;39,999 ;16,741 ;16,928 ;17,057 ;1,594 ;1,593 ;1,608 ;1,838 ;1,823 ;1,797 ;0,00001E+03;-0,00014E+03;0,00013E+03;0,28144E+03;0,27974E+03;0,28638E+03;240,656 ;239,416 ;239,476 ;NAN
230;2025/08/20;13:56:42;237;246,280 ;246,181 ;246,062 ;246,175 ;0,28180E+03;0,28378E+03;0,28813E+03;0,28457E+03;35,001E+03;35,541E+03;36,080E+03;106,622E+03;57,021 ;57,023 ;59,928E+03;60,144E+03;61,030E+03;181,102E+03;69,401E+03;69,860E+03;70,897E+03;210,158E+03;0,50433 ;0,50874 ;0,50890 ;0,50734 ;40,082 ;39,874 ;40,124 ;17,009 ;16,425 ;16,875 ;1,608 ;1,608 ;1,600 ;1,816 ;1,787 ;1,786 ;0,00011E+03;0,00021E+03;0,00045E+03;0,27714E+03;0,28912E+03;0,28802E+03;240,193 ;239,587 ;240,441 ;NAN
231;2025/08/20;13:56:42;738;246,312 ;246,177 ;246,065 ;246,185 ;0,28243E+03;0,28389E+03;0,28842E+03;0,28491E+03;35,125E+03;35,607E+03;36,090E+03;106,823E+03;57,021 ;57,017 ;60,047E+03;60,135E+03;61,110E+03;181,291E+03;69,566E+03;69,886E+03;70,971E+03;210,423E+03;0,50492 ;0,50950 ;0,50852 ;0,50766 ;39,992 ;39,775 ;39,751 ;16,925 ;16,703 ;16,581 ;1,602 ;1,610 ;1,594 ;1,806 ;1,792 ;1,789 ;-0,00189E+03;-0,00023E+03;-0,00068E+03;0,28019E+03;0,28379E+03;0,29288E+03;240,640 ;240,557 ;240,108 ;NAN
232;2025/08/20;13:56:43;238;246,374 ;246,247 ;246,127 ;246,249 ;0,28233E+03;0,28399E+03;0,28829E+03;0,28487E+03;35,026E+03;35,565E+03;36,039E+03;106,630E+03;57,022 ;57,014 ;60,096E+03;60,212E+03;61,121E+03;181,429E+03;69,558E+03;69,931E+03;70,955E+03;210,445E+03;0,50355 ;0,50857 ;0,50792 ;0,50669 ;39,606 ;39,646 ;39,760 ;16,967 ;16,927 ;16,584 ;1,596 ;1,601 ;1,590 ;1,808 ;1,794 ;1,792 ;0,00071E+03;0,00022E+03;0,00059E+03;0,27814E+03;0,28033E+03;0,28862E+03;240,297 ;240,324 ;240,034 ;NAN
233;2025/08/20;13:56:43;739;246,293 ;246,195 ;246,072 ;246,187 ;0,28177E+03;0,28324E+03;0,28717E+03;0,28406E+03;35,019E+03;35,630E+03;35,974E+03;106,622E+03;57,021 ;57,029 ;59,915E+03;59,942E+03;60,824E+03;180,681E+03;69,399E+03;69,732E+03;70,665E+03;209,796E+03;0,50461 ;0,51095 ;0,50907 ;0,50822 ;39,952 ;39,736 ;39,886 ;16,744 ;16,681 ;16,974 ;1,594 ;1,593 ;1,599 ;1,812 ;1,795 ;1,784 ;0,00078E+03;-0,00010E+03;-0,00024E+03;0,28047E+03;0,28576E+03;0,28292E+03;240,068 ;240,875 ;239,454 ;NAN
234;2025/08/20;13:56:44;236;246,243 ;246,132 ;246,006 ;246,127 ;0,28185E+03;0,28342E+03;0,28741E+03;0,28423E+03;35,016E+03;35,618E+03;35,995E+03;106,629E+03;57,021 ;57,023 ;59,922E+03;59,981E+03;60,856E+03;180,759E+03;69,403E+03;69,759E+03;70,704E+03;209,867E+03;0,50453 ;0,51059 ;0,50909 ;0,50808 ;39,898 ;39,946 ;39,949 ;17,104 ;16,463 ;16,883 ;1,591 ;1,603 ;1,599 ;1,821 ;1,796 ;1,798 ;0,00016E+03;-0,00029E+03;0,00036E+03;0,27769E+03;0,29044E+03;0,28866E+03;240,012 ;240,058 ;240,317 ;NAN
235;2025/08/20;13:56:44;738;246,233 ;246,139 ;246,008 ;246,127 ;0,28262E+03;0,28498E+03;0,28853E+03;0,28538E+03;34,973E+03;35,687E+03;36,124E+03;106,784E+03;57,023 ;57,026 ;60,164E+03;60,389E+03;61,100E+03;181,654E+03;69,591E+03;70,146E+03;70,980E+03;210,717E+03;0,50255 ;0,50876 ;0,50893 ;0,50677 ;39,695 ;39,921 ;39,728 ;17,040 ;16,524 ;16,903 ;1,600 ;1,595 ;1,597 ;1,811 ;1,803 ;1,802 ;0,00030E+03;0,00063E+03;-0,00027E+03;0,27782E+03;0,28555E+03;0,28828E+03;240,141 ;240,620 ;239,535 ;NAN
236;2025/08/20;13:56:45;238;246,215 ;246,084 ;245,969 ;246,089 ;0,28099E+03;0,28287E+03;0,28660E+03;0,28349E+03;35,032E+03;35,687E+03;36,080E+03;106,799E+03;57,018 ;57,021 ;59,659E+03;59,765E+03;60,561E+03;179,985E+03;69,184E+03;69,609E+03;70,494E+03;209,288E+03;0,50636 ;0,51268 ;0,51182 ;0,51030 ;39,516 ;40,119 ;39,726 ;16,717 ;16,926 ;16,555 ;1,599 ;1,605 ;1,611 ;1,820 ;1,809 ;1,797 ;0,00051E+03;-0,00068E+03;-0,00037E+03;0,28150E+03;0,28335E+03;0,29451E+03;241,148 ;240,564 ;240,914 ;NAN
237;2025/08/20;13:56:45;738;246,223 ;246,087 ;245,955 ;246,088 ;0,28387E+03;0,28589E+03;0,28901E+03;0,28626E+03;35,461E+03;36,246E+03;36,520E+03;108,227E+03;57,018 ;57,010 ;60,233E+03;60,298E+03;60,984E+03;181,515E+03;69,896E+03;70,353E+03;71,083E+03;211,332E+03;0,50734 ;0,51519 ;0,51377 ;0,51212 ;40,002 ;39,965 ;39,679 ;16,634 ;16,720 ;16,875 ;1,598 ;1,600 ;1,601 ;1,823 ;1,792 ;1,793 ;-0,00028E+03;0,00037E+03;0,00060E+03;0,28371E+03;0,28464E+03;0,28918E+03;239,701 ;240,065 ;239,833 ;NAN
238;2025/08/20;13:56:46;236;246,050 ;245,920 ;245,814 ;245,928 ;0,28555E+03;0,28773E+03;0,29224E+03;0,28851E+03;36,097E+03;36,626E+03;37,250E+03;109,972E+03;57,015 ;57,015 ;60,278E+03;60,543E+03;61,425E+03;182,245E+03;70,259E+03;70,759E+03;71,837E+03;212,856E+03;0,51376 ;0,51761 ;0,51854 ;0,51665 ;39,762 ;40,030 ;39,748 ;16,827 ;16,832 ;17,052 ;1,600 ;1,593 ;1,613 ;1,820 ;1,794 ;1,797 ;-0,00066E+03;-0,00031E+03;0,00008E+03;0,28042E+03;0,28307E+03;0,28472E+03;239,626 ;239,784 ;239,872 ;NAN
239;2025/08/20;13:56:46;737;245,631 ;245,507 ;245,391 ;245,510 ;0,28381E+03;0,28520E+03;0,28891E+03;0,28597E+03;36,441E+03;37,094E+03;37,389E+03;110,924E+03;57,014 ;57,012 ;59,428E+03;59,387E+03;60,235E+03;179,051E+03;69,712E+03;70,020E+03;70,896E+03;210,627E+03;0,52274 ;0,52976 ;0,52738 ;0,52664 ;39,648 ;39,693 ;40,069 ;16,803 ;16,507 ;16,673 ;1,597 ;1,604 ;1,599 ;1,849 ;1,795 ;1,781 ;0,00028E+03;-0,00021E+03;-0,00071E+03;0,28406E+03;0,29130E+03;0,29486E+03;240,563 ;240,608 ;240,036 ;NAN
